phone_id,customer_id,phone_number,activation_date
PH000001,CU000001,07389521285,2022-01-28
PH000002,CU000001,07419608089,2022-03-28
PH000003,CU000002,07145798405,2022-01-04
PH000004,CU000002,07641206667,2022-05-15
PH000005,CU000002,07446988058,2022-07-27
PH000006,CU000003,07391184199,2022-01-15
PH000007,CU000004,07233338056,2022-01-03
PH000008,CU000005,07134735541,2022-01-21
PH000009,CU000006,07122866712,2022-01-05
PH000010,CU000007,07229694370,2022-01-22
PH000011,CU000008,07657264287,2022-01-04
PH000012,CU000009,07520346932,2022-01-29
PH000013,CU000010,07964441286,2022-01-27
PH000014,CU000011,07392960627,2022-01-09
PH000015,CU000012,07228880875,2022-01-25
PH000016,CU000013,07151986255,2022-01-18
PH000017,CU000014,07428038453,2022-01-18
PH000018,CU000014,07822337145,2022-04-03
PH000019,CU000015,07878876114,2022-01-05
PH000020,CU000015,07111056706,2022-03-31
PH000021,CU000015,07928155790,2022-06-22
PH000022,CU000016,07835370135,2022-01-05
PH000023,CU000016,07972023113,2022-04-13
PH000024,CU000016,07937255164,2022-07-04
PH000025,CU000017,07290202911,2022-01-14
PH000026,CU000018,07466592686,2022-01-20
PH000027,CU000018,07930874944,2022-04-16
PH000028,CU000018,07201292254,2022-07-11
PH000029,CU000019,07598804104,2022-01-05
PH000030,CU000020,07473942052,2022-01-12
PH000031,CU000020,07326667614,2022-06-06
PH000032,CU000021,07977024580,2022-01-13
PH000033,CU000022,07980101757,2022-01-19
PH000034,CU000023,07405933727,2022-01-23
PH000035,CU000024,07128117592,2022-01-17
PH000036,CU000025,07461740102,2022-01-07
PH000037,CU000026,07890291263,2022-01-10
PH000038,CU000027,07691326092,2022-01-16
PH000039,CU000028,07438310368,2022-01-08
PH000040,CU000029,07903711200,2022-01-20
PH000041,CU000030,07972790415,2022-01-01
PH000042,CU000031,07769367767,2022-01-26
PH000043,CU000032,07913074425,2022-01-28
PH000044,CU000033,07381222476,2022-01-14
PH000045,CU000034,07351446893,2022-01-19
PH000046,CU000035,07198945750,2022-01-08
PH000047,CU000036,07172947340,2022-01-17
PH000048,CU000037,07422894029,2022-01-23
PH000049,CU000038,07394655824,2022-01-01
PH000050,CU000039,07766510747,2022-01-12
PH000051,CU000040,07542035263,2022-01-28
PH000052,CU000041,07577188396,2022-01-29
PH000053,CU000042,07207748174,2022-01-01
PH000054,CU000043,07779119360,2022-01-24
PH000055,CU000044,07564159021,2022-01-13
PH000056,CU000045,07195118413,2022-01-08
PH000057,CU000046,07711634577,2022-01-04
PH000058,CU000046,07233788842,2022-06-18
PH000059,CU000046,07153310524,2022-09-05
PH000060,CU000047,07864049345,2022-01-05
PH000061,CU000048,07780774319,2022-01-01
PH000062,CU000048,07365556486,2022-04-26
PH000063,CU000049,07523255765,2022-01-13
PH000064,CU000049,07637264893,2022-06-18
PH000065,CU000050,07592069221,2022-01-21
PH000066,CU000051,07660877079,2022-01-06
PH000067,CU000051,07242317065,2022-02-25
PH000068,CU000052,07973612562,2022-01-02
PH000069,CU000053,07151216944,2022-01-01
PH000070,CU000054,07917600333,2022-01-16
PH000071,CU000055,07600295069,2022-01-21
PH000072,CU000055,07659958020,2022-06-10
